#{"t_start": 1675199325.9027493, "env_id": "mazecoinplay-v0"}
r,l,t
-1197.0,1201,31.217844
-841.0,845,53.015438
-747.0,751,74.75537
-14974.0,14976,505.949939
-2240.0,2244,570.298807
-4883.0,4887,710.029825
-1956.0,1960,766.193711
-2427.0,2431,835.854738
-784.0,788,858.503065
-1053.0,1057,888.90343
-1870.0,1874,942.557903
-4101.0,4105,1060.074891
-7203.0,7207,1266.883717
-680.0,684,1286.882738
-1369.0,1373,1326.31076
-663.0,667,1345.56223
-14974.0,14976,1776.121645
-754.0,758,1797.948444
-595.0,599,1815.314668
-564.0,568,1831.740071
-3078.0,3082,1920.135678
-2809.0,2813,2000.907979
-2565.0,2569,2074.735896
-14974.0,14976,2504.507937
-3135.0,3139,2594.386018
-7327.0,7331,2804.835608
-4229.0,4233,2926.298312
-2361.0,2365,2994.409853
-12724.0,12728,3362.825375
-466.0,470,3376.328888
-2103.0,2107,3436.901056
-14974.0,14976,3868.099802
-3150.0,3154,3958.917318
-1311.0,1315,3997.088469
-2019.0,2023,4055.290049
-2406.0,2410,4124.543365
-1012.0,1016,4153.752286
-14974.0,14976,4584.322288
-3884.0,3888,4696.000423
-2522.0,2526,4768.590074
-1472.0,1476,4811.37168
-14974.0,14976,5242.184145
-7778.0,7782,5466.32778
-1090.0,1094,5497.949341
-5710.0,5714,5662.03163
-14974.0,14976,6091.821594
-1691.0,1695,6140.270391
-5568.0,5572,6299.77125
-2802.0,2806,6380.20064
-14974.0,14976,6809.531778
-728.0,732,6830.584332
-14974.0,14976,7264.363329
-14974.0,14976,7695.568899
-1979.0,1983,7752.132429
-1348.0,1352,7790.633371
-14974.0,14976,8217.955849
-3432.0,3436,8316.081275
-1147.0,1151,8348.802076
-5063.0,5067,8493.82333
-1437.0,1441,8535.013553
-1593.0,1597,8580.702616
-526.0,530,8595.85677
-4418.0,4422,8722.217127
-14974.0,14976,9150.420899
-14974.0,14976,9594.566699
-538.0,542,9610.428368
-5336.0,5340,9766.7409
-1294.0,1298,9804.775825
-2980.0,2984,9892.739402
-1680.0,1684,9942.68117
-14974.0,14976,10381.90807
-4612.0,4616,10514.120577
-1960.0,1964,10569.813775
-462.0,466,10582.980181
-4432.0,4436,10707.945633
-2912.0,2916,10790.627273
-3363.0,3367,10885.382567
-3686.0,3690,10989.306448
-3237.0,3241,11080.851389
-1622.0,1626,11126.456647
-2104.0,2108,11185.826198
-14974.0,14976,11604.693434
-4489.0,4493,11730.689754
-2554.0,2558,11802.334774
-1330.0,1334,11839.664501
-14974.0,14976,12267.300496
-2412.0,2416,12333.710775
-3719.0,3723,12436.098216
